height,weight,gender,gender_male
13.22751456,144.4803479,female,0
12.98527462,138.9318469,male,1
13.2844603,138.5365945,female,0
13.60993382,139.3804654,male,1
12.94829974,137.3203497,male,1
12.94830608,135.7967421,female,0
13.63055861,147.3720302,male,1
13.32945413,142.0130327,female,0
12.85710917,137.9003916,female,0
13.24483297,135.0366242,male,1
12.85946434,139.2698819,male,1
12.85856533,133.6593493,female,0
13.13086527,146.5861157,female,0
12.28280088,121.9876597,male,1
12.35924034,135.0552299,male,1
12.82096427,133.1781163,male,1
12.64403768,126.6787544,male,1
13.15836135,134.1518075,female,0
12.68541522,128.8581431,female,0
12.4850696,130.0593112,female,0
13.58883688,144.9424213,female,0
12.95153416,131.0026185,male,1
13.06427503,135.2158681,male,1
12.48008486,138.5876109,female,0
12.82794499,140.9158022,female,0
13.08087252,137.7362313,female,0
12.58928371,129.4350495,female,0
13.1816911,137.4786467,female,0
12.80599911,135.0643964,female,0
12.92606137,128.4275684,female,0
12.80558214,130.7045843,female,0
13.73035986,135.9184706,female,0
13.03322783,136.9286295,male,1
12.62627779,132.9474251,female,0
13.35011045,136.6967922,male,1
12.56151119,136.7657156,male,1
13.11825583,129.9154897,female,0
12.26390226,117.879775,female,0
12.51871158,129.4813288,male,1
13.11368035,141.2197977,male,1
13.31858348,147.1119714,female,0
13.10395676,133.5624201,male,1
12.99398004,139.8151628,female,0
12.92242094,133.3019392,female,0
12.45852239,126.7442535,female,0
12.75937138,135.8190786,male,1
12.86054479,135.9584205,male,1
13.4376792,132.4036503,female,0
13.16951719,144.1007932,male,1
12.3438081,133.085256,male,1
13.16209861,133.4926063,male,1
12.88988662,135.0536063,male,1
12.77618018,134.0855409,male,1
13.2708991,139.3617503,male,1
13.42795574,137.4034718,male,1
13.39077299,136.2982838,female,0
12.71250663,130.676142,male,1
12.91928312,139.3175832,male,1
13.16482565,139.3743179,male,1
13.40729097,138.024654,male,1
12.85333644,136.4626224,male,1
12.96701239,119.828992,male,1
12.60700798,135.2121536,male,1
12.57131392,120.320398,male,1
13.34635749,137.2504244,female,0
13.54852022,136.1828507,male,1
13.01076088,128.166542,male,1
13.41772443,145.8217984,male,1
13.17635611,134.4696741,male,1
12.78862004,133.5069206,female,0
13.17626487,136.5723751,female,0
13.61544585,145.075387,female,0
13.02465891,135.2049793,female,0
13.62521327,136.4082572,female,0
11.99177005,126.8826086,female,0
13.34986985,136.6407296,female,0
13.07174322,127.6523258,female,0
12.92323205,131.3643874,female,0
13.07354611,142.9626028,female,0
12.25252263,129.3132641,female,0
12.95389058,132.1583799,female,0
13.17463949,135.0392743,female,0
13.59334177,140.781295,female,0
12.83811894,142.7923888,female,0
12.72458502,132.8672092,female,0
12.84454863,134.641423,male,1
13.38484296,144.7284279,female,0
13.16387143,137.8377013,male,1
12.83364321,131.0559883,female,0
13.23377022,136.5845879,female,0
13.07557936,135.1273814,male,1
13.40471745,139.6571138,female,0
12.76634126,135.1278822,male,1
12.91214074,133.6214187,male,1
12.88716099,136.7026596,male,1
12.46454373,127.2788424,female,0
13.15147151,136.8737773,female,0
13.13813353,126.3142729,female,0
13.04036558,139.6072057,male,1
12.94813225,135.5595067,male,1
12.48384126,132.9131968,female,0
12.8760843,118.4154965,female,0
12.90631066,143.7283009,female,0
12.72702743,130.2906655,female,0
12.97640716,139.7344855,female,0
13.19244134,131.8207246,male,1
13.74270203,147.494799,male,1
13.10518135,130.6058112,male,1
13.13679961,133.1689072,female,0
13.00982478,144.1979272,male,1
12.28056545,124.4527319,male,1
13.02823324,135.954595,male,1
13.06148162,139.6514897,male,1
13.9510724,149.79462,male,1
12.96442788,134.7902897,female,0
13.15353464,138.3325417,male,1
13.02508665,146.8435191,female,0
12.58225813,128.8685158,female,0
13.46952962,141.7196093,female,0
13.32363803,144.0129371,female,0
13.33830272,144.4827894,female,0
12.68487783,136.3882143,male,1
13.56568992,145.2076227,male,1
12.48925496,122.2757201,female,0
13.26154482,146.1014431,female,0
13.852962,140.2205512,female,0
12.65285093,131.5604957,male,1
12.81940025,128.3971321,female,0
13.07656353,135.1775651,male,1
12.84387961,134.1264338,female,0
12.42953602,128.8534689,male,1
13.06467105,137.4524186,female,0
12.62445891,137.7570378,male,1
13.21877166,139.6356337,female,0
12.68092101,129.1820957,male,1
13.61981439,147.5701079,male,1
12.73449909,137.031086,male,1
12.91430931,127.2516533,male,1
13.34672889,142.0545864,male,1
12.55752192,132.3515421,male,1
13.12534188,134.6494822,male,1
13.53038904,148.4142478,female,0
12.4066582,126.2123059,female,0
13.10901745,136.5510516,female,0
13.13768731,135.4340548,female,0
13.33485016,138.9870096,female,0
12.55509828,123.333871,male,1
12.52179835,121.1974625,male,1
13.23704709,145.5822331,male,1
13.15180013,132.2501166,male,1
13.13411316,131.2955025,male,1
13.17059156,125.9652905,female,0
12.77496586,128.4050677,female,0
13.1271679,129.5458195,female,0
13.15031272,144.6754382,female,0
12.76152365,136.4773284,male,1
13.73527375,140.8881208,male,1
13.21886263,148.6313436,male,1
12.5732639,133.9523099,female,0
13.28779651,136.6586111,male,1
12.65911463,117.6295631,female,0
13.33682294,150.3901359,male,1
13.47538333,133.8451156,male,1
12.71979468,122.6695947,female,0
13.402752,144.9297328,male,1
13.19574967,149.2626667,male,1
13.3499289,146.0316649,female,0
13.74656065,147.3035105,male,1
12.94396071,136.7468311,female,0
12.74608326,135.498397,male,1
12.69270876,134.3470708,male,1
12.72170968,132.3269057,male,1
13.00880405,135.135497,male,1
13.16858078,136.3927942,male,1
13.14408262,132.6136311,male,1
13.35184753,137.7325409,male,1
13.04338986,126.6002254,male,1
13.58437856,141.7759723,female,0
12.93651544,128.7337603,female,0
14.04285198,143.0828992,male,1
13.27616938,139.0278075,male,1
12.70544861,137.6742236,female,0
12.62105681,134.2371205,male,1
13.22213009,129.5598591,male,1
12.95242727,128.9345454,female,0
13.30939536,143.2738584,male,1
13.21863746,132.4537512,male,1
13.01044622,133.5126897,female,0
12.70952646,133.5162919,male,1
12.44393538,122.5840416,male,1
12.86603476,133.2943028,female,0
13.36278369,132.6118665,male,1
13.12024914,133.0636305,female,0
12.55159799,130.3702158,male,1
13.10464838,127.900936,male,1
13.18533935,139.1289606,female,0
12.69493701,130.4825238,female,0
13.09722303,138.5310753,male,1
13.06070776,136.4106143,female,0
12.59246985,136.1058507,female,0
13.17489558,137.4150593,male,1
13.25171103,135.6568949,male,1
13.44732362,141.0267437,male,1
13.43644375,142.9855004,female,0
12.49893221,128.3559535,female,0
12.67366362,130.5138333,female,0
13.23443813,134.0652179,female,0
13.23396613,134.2544252,male,1
13.23444282,130.5622121,female,0
14.44047489,163.0115412,male,1
13.25552357,131.6351364,female,0
13.46683543,137.2133022,male,1
13.39925437,136.1779725,male,1
13.28585385,142.7315781,male,1
12.91693878,131.9489054,female,0
